2022-04-02 10:55:56,539 [main] INFO  -[AbstractTestContextBootstrapper.java:305]- Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.pharaoh.deepfake.common.util.InitAdversarialDetectionDatabaseTest], using SpringBootContextLoader
2022-04-02 10:55:56,544 [main] INFO  -[AbstractContextLoader.java:264]- Could not detect default resource locations for test class [com.pharaoh.deepfake.common.util.InitAdversarialDetectionDatabaseTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-04-02 10:55:56,545 [main] INFO  -[AnnotationConfigContextLoaderUtils.java:83]- Could not detect default configuration classes for test class [com.pharaoh.deepfake.common.util.InitAdversarialDetectionDatabaseTest]: InitAdversarialDetectionDatabaseTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-04-02 10:55:56,655 [main] INFO  -[SpringBootTestContextBootstrapper.java:238]- Found @SpringBootConfiguration com.pharaoh.deepfake.DeepfakeApplication for test class com.pharaoh.deepfake.common.util.InitAdversarialDetectionDatabaseTest
2022-04-02 10:55:56,751 [main] INFO  -[AbstractTestContextBootstrapper.java:245]- Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-04-02 10:55:56,772 [main] INFO  -[AbstractTestContextBootstrapper.java:174]- Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4fbe37eb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@12a94400, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6a47b187, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2049a9c1, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1ef6d34c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@46271dd6, org.springframework.test.context.transaction.TransactionalTestExecutionListener@11bb571c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7c51f34b, org.springframework.test.context.event.EventPublishingTestExecutionListener@5495333e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2a225dd7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@61eaec38, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@125290e5, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6fa34d52, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@57576994, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@616ac46a]
2022-04-02 10:55:57,098 [main] INFO  -[StartupInfoLogger.java:55]- Starting InitAdversarialDetectionDatabaseTest using Java 1.8.0_261 on LZD-20210917XHH with PID 15996 (started by Administrator in D:\workplace\deep-fake-p-backend)
2022-04-02 10:55:57,100 [main] INFO  -[SpringApplication.java:659]- No active profile set, falling back to default profiles: default
2022-04-02 10:55:58,162 [main] INFO  -[RepositoryConfigurationDelegate.java:262]- Multiple Spring Data modules found, entering strict repository configuration mode!
2022-04-02 10:55:58,166 [main] INFO  -[RepositoryConfigurationDelegate.java:132]- Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-04-02 10:55:58,361 [main] INFO  -[RepositoryConfigurationDelegate.java:201]- Finished Spring Data repository scanning in 183 ms. Found 14 JPA repository interfaces.
2022-04-02 10:55:58,375 [main] INFO  -[RepositoryConfigurationDelegate.java:262]- Multiple Spring Data modules found, entering strict repository configuration mode!
2022-04-02 10:55:58,376 [main] INFO  -[RepositoryConfigurationDelegate.java:132]- Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-04-02 10:55:58,396 [main] INFO  -[RepositoryConfigurationExtensionSupport.java:349]- Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.pharaoh.deepfake.repository.AdversarialDetectionRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
