2022-04-02 10:57:21,372 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,392 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,395 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,397 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,399 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,401 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,403 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,405 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,407 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,409 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,410 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,412 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,414 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,416 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,418 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,420 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,422 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,424 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,426 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,428 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,429 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,431 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,433 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,435 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,436 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,438 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,440 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
